Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.012,-0.991437881,0.000577367,-9.151285745,-4.151285745
0.012,-0.905436903,0.001154734,-8.66747247,-3.66747247
0.012,-0.834414009,0.001732102,-8.319335645,-3.319335645
0.012,-0.781634379,0.002309469,-5.799331955,-0.799331955
0.012,-0.816719414,0.002886836,-5.74342133,-0.74342133
0.012,-0.830722416,0.003464203,-6.88429627,-1.88429627
0.012,-0.765332331,0.00404157,-4.555879655,0.444120345
0.012,-0.81062441,0.004618938,-7.572369695,-2.572369695
0.012,-0.727414491,0.005196305,-7.88710924,-2.88710924
0.012,-0.709681132,0.005773672,-6.720739055,-1.720739055
0.012,-0.742159986,0.006351039,-2.631361395,2.368638605
0.012,-0.840828075,0.006928406,-7.206192375,-2.206192375
0.012,-0.72869969,0.007505774,-1.43219031,3.56780969
0.012,-0.779287623,0.008083141,-6.323251785,-1.323251785
0.012,-0.770309122,0.008660508,-4.537391875,0.462608125
0.012,-0.838150329,0.009237875,-4.19492066,0.80507934
0.012,-0.839387818,0.009815242,-5.73596658,-0.73596658
0.012,-0.82299035,0.01039261,-6.836138585,-1.836138585
0.012,-0.872233446,0.010969977,-7.887258335,-2.887258335
0.012,-0.768311249,0.011547344,-6.106765845,-1.106765845
0.012,-0.73150864,0.012124711,-6.468470315,-1.468470315
0.012,-0.800605226,0.012702079,-4.65651878,0.34348122
0.012,-0.806789687,0.013279446,-4.424079675,0.575920325
0.012,-0.796848032,0.013856813,-3.62358862,1.37641138
0.012,-0.812848908,0.01443418,-3.692023225,1.307976775
0.012,-0.864489452,0.015011547,-4.23338717,0.76661283
0.012,-0.893551049,0.015588915,-8.18917571,-3.18917571
0.012,-0.876795753,0.016166282,-3.194344115,1.805655885
0.012,-0.879592775,0.016743649,-4.346252085,0.653747915
0.017,-0.916141924,0.017321016,-9.093436885,-4.093436885
0.017,-0.816152853,0.017898383,-5.438522055,-0.438522055
0.017,-0.862196371,0.018475751,-3.182416515,1.817583485
