Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.01,0.827288531,0.000577367,-5.1807368,-0.1807368
0.01,0.83196415,0.001154734,-3.471362625,1.528637375
0.01,0.834594186,0.001732102,-3.980671145,1.019328855
0.01,0.845809112,0.002309469,-5.066977315,-0.066977315
0.01,0.878296913,0.002886836,-2.932235105,2.067764895
0.01,0.801802232,0.003464203,-2.681159125,2.318840875
0.01,0.761430288,0.00404157,-3.71572933,1.28427067
0.01,0.755624528,0.004618938,-3.489552215,1.510447785
0.01,0.720617022,0.005196305,-5.84450774,-0.84450774
0.01,0.760577464,0.005773672,-5.82751091,-0.82751091
0.01,0.779950869,0.006351039,-2.699050525,2.300949475
0.01,0.752338475,0.006928406,-6.252878945,-1.252878945
0.01,0.790772184,0.007505774,-4.175091025,0.824908975
0.01,0.759170008,0.008083141,-1.564139385,3.435860615
0.01,0.746502896,0.008660508,-3.95308857,1.04691143
0.01,0.76003774,0.009237875,-3.279626455,1.720373545
0.01,0.723038325,0.009815242,-0.764990185,4.235009815
0.01,0.631604326,0.01039261,-3.87108632,1.12891368
0.01,0.596796607,0.010969977,-3.475835475,1.524164525
0.01,0.613504193,0.011547344,-5.532451905,-0.532451905
0.01,0.593119924,0.012124711,-3.804142665,1.195857335
0.01,0.54499504,0.012702079,-4.464931705,0.535068295
0.01,0.534313874,0.013279446,-5.773389425,-0.773389425
0.01,0.551385252,0.013856813,-3.83917999,1.16082001
0.01,0.527759658,0.01443418,-4.257987845,0.742012155
0.01,0.564428082,0.015011547,-3.50938185,1.49061815
0.01,0.542084706,0.015588915,-6.3943701,-1.3943701
0.01,0.537110896,0.016166282,-3.800266195,1.199733805
0.01,0.520361564,0.016743649,-3.42559046,1.57440954
0.01,0.481734032,0.017321016,-3.661309655,1.338690345
0.01,0.45721685,0.017898383,-3.53890266,1.46109734
0.01,0.454885004,0.018475751,-4.121416825,0.878583175
0.01,0.456125474,0.019053118,-6.04876789,-1.04876789
0.01,0.469773631,0.019630485,-3.59019134,1.40980866
0.01,0.487996022,0.020207852,-4.05596412,0.94403588
0.01,0.486782388,0.020785219,-4.41796678,0.58203322
0.01,0.47039983,0.021362587,-3.02273577,1.97726423
0.01,0.474470123,0.021939954,-5.949917905,-0.949917905
0.01,0.490688677,0.022517321,-4.148552115,0.851447885
0.01,0.467083957,0.023094688,-3.964867075,1.035132925
0.01,0.442438553,0.023672055,-5.24097118,-0.24097118
0.01,0.512355163,0.024249423,-5.12288794,-0.12288794
0.01,0.521387338,0.02482679,-2.500157795,2.499842205
0.01,0.484751714,0.025404157,-5.97571134,-0.97571134
0.01,0.533795024,0.025981524,-4.976625745,0.023374255
0.01,0.540638484,0.026558891,-5.501141955,-0.501141955
0.01,0.575359728,0.027136259,-2.85574937,2.14425063
0.01,0.504453128,0.027713626,-4.249936715,0.750063285
0.01,0.495060143,0.028290993,-5.14555038,-0.14555038
0.01,0.504432254,0.02886836,-3.51832755,1.48167245
0.01,0.516464221,0.029445727,-4.94695584,0.05304416
0.01,0.480654584,0.030023095,-3.339860835,1.660139165
0.01,0.436981676,0.030600462,-3.41992485,1.58007515
0.01,0.418973982,0.031177829,-3.44258729,1.55741271
0.01,0.449377435,0.031755196,-6.75696914,-1.75696914
0.01,0.537388213,0.032332564,-4.69975633,0.30024367
0.01,0.586023002,0.032909931,-4.006017295,0.993982705
0.01,0.543608457,0.033487298,-5.239927515,-0.239927515
0.01,0.583032156,0.034064665,-3.846485645,1.153514355
0.01,0.636127868,0.034642032,-4.858840695,0.141159305
0.01,0.633470995,0.0352194,-4.079670225,0.920329775
0.01,0.638179415,0.035796767,-4.33119349,0.66880651
0.01,0.629689946,0.036374134,-5.755199835,-0.755199835
0.01,0.635334682,0.036951501,-2.197494945,2.802505055
0.01,0.610903976,0.037528868,-3.276346365,1.723653635
0.01,0.597345276,0.038106236,-5.129597215,-0.129597215
0.01,0.625732964,0.038683603,-5.33669017,-0.33669017
0.01,0.611879057,0.03926097,-5.611472255,-0.611472255
0.01,0.649874427,0.039838337,-2.64045619,2.35954381
0.01,0.610101845,0.040415704,-6.551665325,-1.551665325
0.01,0.667500438,0.040993072,-6.21038687,-1.21038687
0.01,0.733495849,0.041570439,-4.998989995,0.001010005
0.01,0.726258777,0.042147806,-4.91982055,0.08017945
0.01,0.764832636,0.042725173,-5.020459675,-0.020459675
0.01,0.792385392,0.04330254,-2.42456663,2.57543337
0.01,0.742337182,0.043879908,-4.626550685,0.373449315
0.01,0.770361078,0.044457275,-6.64306056,-1.64306056
0.01,0.803093395,0.045034642,-4.63773281,0.36226719
0.01,0.755484379,0.045612009,-5.35696709,-0.35696709
0.01,0.786979207,0.046189376,-4.887168745,0.112831255
0.01,0.807226308,0.046766744,-3.65549495,1.34450505
0.01,0.772138291,0.047344111,-4.059393305,0.940606695
0.01,0.758275438,0.047921478,-5.366360075,-0.366360075
0.01,0.789319998,0.048498845,-2.679071795,2.320928205
0.01,0.775752353,0.049076212,-4.116645785,0.883354215
0.01,0.814806298,0.04965358,-5.23709471,-0.23709471
0.01,0.838270869,0.050230947,-2.819221095,2.180778905
0.01,0.824938794,0.050808314,-5.1389902,-0.1389902
0.01,0.866527353,0.051385681,-5.328788135,-0.328788135
0.01,0.886461355,0.051963048,-5.19713725,-0.19713725
0.01,0.917774287,0.052540416,-1.745140715,3.254859285
0.01,0.904066492,0.053117783,-4.671279185,0.328720815
0.01,0.931076543,0.05369515,-4.331938965,0.668061035
0.01,0.937750035,0.054272517,-3.523545875,1.476454125
0.01,0.946475074,0.054849885,-4.63445272,0.36554728
0.02,0.909669482,0.055427252,-3.765079775,1.234920225
0.02,0.860175906,0.056004619,-6.401079375,-1.401079375
0.02,0.904949135,0.056581986,-4.719585965,0.280414035
0.02,0.948866558,0.057159353,-4.676944795,0.323055205
0.02,0.961327918,0.057736721,-2.916729225,2.083270775
0.02,0.952734082,0.058314088,-6.737437695,-1.737437695
0.02,1.046905466,0.058891455,-5.523506205,-0.523506205
0.02,1.074165996,0.059468822,-4.320309555,0.679690445
0.02,1.099085734,0.060046189,-1.92241467,3.07758533
0.02,1.084396895,0.060623557,-2.356430215,2.643569785
0.02,1.075958118,0.061200924,-2.26801688,2.73198312
0.02,1.037103961,0.061778291,-6.126744575,-1.126744575
0.02,1.046956159,0.062355658,-3.26874252,1.73125748
0.02,1.012425757,0.062933025,-1.191700075,3.808299925
0.02,0.956476367,0.063510393,-4.99168434,0.00831566
0.02,0.982162453,0.06408776,-3.84424922,1.15575078
0.02,0.977111115,0.064665127,-4.755666955,0.244333045
0.02,0.965905135,0.065242494,-5.472963,-0.472963
0.02,0.988475136,0.065819861,-3.41903028,1.58096972
0.02,1.006038527,0.066397229,-3.95428133,1.04571867
