Timestamp (seconds),Torque [Pound-inches/Raw],,
0.012,0.47130642,1.171154169,1.171154169
0.012,0.637289255,1.17368299,1.17368299
0.012,0.67531103,1.17476251,1.17476251
0.012,0.83992295,1.175367297,1.175367297
0.012,0.679457,1.161165957,1.161165957
0.012,2.281917405,1.150416066,1.150416066
0.012,1.118273015,1.124561259,1.124561259
0.012,0.40122707,1.127633401,1.127633401
0.012,1.69161071,1.179754545,1.179754545
0.012,1.41543928,1.146450452,1.146450452
0.012,1.72978159,1.124564821,1.124564821
0.012,0.51785615,1.113200037,1.113200037
0.012,2.090466585,1.11774774,1.11774774
0.012,1.39426637,1.085889966,1.085889966
0.012,2.38047581,1.088034675,1.088034675
0.012,0.467607765,1.062257403,1.062257403
0.012,0.656942145,1.062612272,1.062612272
0.012,2.56593346,1.057772904,1.057772904
0.012,1.24039001,1.008812786,1.008812786
0.012,0.6347255,1.011067833,1.011067833
0.012,0.906871095,1.006302437,1.006302437
0.012,0.92849132,1.003468863,1.003468863
0.012,0.774764065,1.001497115,1.001497115
0.012,1.940168745,0.993678049,0.993678049
0.012,0.44419828,0.97128546,0.97128546
0.012,0.12806671,0.972289848,0.972289848
0.012,0.82945663,0.993880252,0.993880252
0.012,0.61802574,1.008403079,1.008403079
0.012,1.48790431,1.00015517,1.00015517
0.012,3.69972788,1.001840057,1.001840057
0.012,0.05679452,0.94968611,0.94968611
0.012,0.711543545,0.955805379,0.955805379
0.012,0.809625665,0.970273949,0.970273949
0.012,1.967276885,0.980744681,0.980744681
0.012,0.784306785,0.9794087,0.9794087
0.012,0.309527495,0.965160227,0.965160227
0.012,0.441932735,0.999624356,0.999624356
0.012,1.930597055,0.997659152,0.997659152
0.012,0.897299405,1.007428512,1.007428512
0.012,1.91139148,1.003524943,1.003524943
0.012,0.40540201,1.004583009,1.004583009
0.012,1.633608865,1.004866888,1.004866888
0.012,1.540836585,0.981865951,0.981865951
0.012,0.57869099,0.979596573,0.979596573
0.012,0.70871055,0.991835111,0.991835111
0.012,0.15672384,0.990949427,0.990949427
0.012,0.420490585,0.99714267,0.99714267
0.012,2.30532689,1.009643053,1.009643053
0.012,2.916032,0.978650088,0.978650088
0.012,2.42371626,0.922935514,0.922935514
0.012,0.59774746,0.875847575,0.875847575
0.012,0.691265265,0.881102036,0.881102036
0.012,0.705550375,0.894625859,0.894625859
0.012,0.12985597,0.901547313,0.901547313
0.012,0.141962445,0.90307771,0.90307771
0.012,0.989177055,0.906548295,0.906548295
0.012,1.271880135,0.910749494,0.910749494
0.012,3.00728426,0.899861847,0.899861847
0.012,0.02640607,0.875900674,0.875900674
0.012,0.321157685,0.888353923,0.888353923
0.012,1.161542435,0.912330007,0.912330007
0.012,0.745241275,0.890458707,0.890458707
0.012,0.49757787,0.904822903,0.904822903
0.012,1.501501835,0.915567409,0.915567409
0.012,1.09161219,0.916524663,0.916524663
0.012,0.48535126,0.895772229,0.895772229
0.012,0.4149737,0.923958459,0.923958459
0.012,0.11792757,0.936560234,0.936560234
0.012,1.35314236,0.96614921,0.96614921
0.012,0.39645571,0.955392775,0.955392775
0.012,0.765192375,0.984560695,0.984560695
0.012,0.829903945,1.006491638,1.006491638
0.012,0.383810755,1.01385204,1.01385204
0.012,0.8205393,1.052574609,1.052574609
0.012,0.494417695,1.04763269,1.04763269
0.012,1.20758691,1.067989084,1.067989084
0.012,1.55559798,1.069659639,1.069659639
0.012,0.20563028,1.053377373,1.053377373
0.012,1.572148635,1.075477137,1.075477137
0.012,1.092030535,1.051447955,1.051447955
0.012,0.36275798,1.06088688,1.06088688
0.012,1.434972035,1.096574251,1.096574251
0.012,1.33316229,1.085615612,1.085615612
0.012,1.900477845,1.067495793,1.067495793
0.012,0.071883095,1.040788685,1.040788685
0.012,2.03273398,1.074557406,1.074557406
0.012,0.34367254,1.037346762,1.037346762
0.012,2.419065035,1.053250302,1.053250302
0.012,0.70212096,1.030037635,1.030037635
0.012,1.964294785,1.018196296,1.018196296
0.012,0.419595955,0.98884945,0.98884945
0.012,0.483562,1.004138676,1.004138676
0.012,1.42736768,1.022463101,1.022463101
0.012,1.19061791,1.047447135,1.047447135
0.012,0.664426365,1.028671254,1.028671254
0.012,0.466385955,1.036465884,1.036465884
0.012,1.045509775,1.045504629,1.045504629
0.012,0.755678625,1.031346198,1.031346198
0.012,0.130303285,1.02808378,1.02808378
0.012,0.06931934,1.063048903,1.063048903
0.012,0.86047047,1.112468264,1.112468264
0.012,1.36745644,1.103776022,1.103776022
0.012,1.05162308,1.082119432,1.082119432
0.012,0.206375805,1.103763514,1.103763514
0.012,0.315491695,1.133867234,1.133867234
0.012,1.19923703,1.180331334,1.180331334
0.012,0.72749778,1.175837889,1.175837889
0.012,1.809225585,1.202852733,1.202852733
0.012,0.64906855,1.191103838,1.191103838
0.012,1.519961885,1.219302576,1.219302576
0.012,0.067977395,1.217585466,1.217585466
0.012,1.46345109,1.245432316,1.245432316
0.012,1.034803185,1.224969725,1.224969725
0.012,1.54936454,1.215459229,1.215459229
0.012,0.053990495,1.22815701,1.22815701
0.012,1.89466275,1.258637054,1.258637054
0.012,1.04506246,1.228360373,1.228360373
0.012,1.59737635,1.240420564,1.240420564
0.012,0.815320625,1.260155523,1.260155523
0.012,1.854851715,1.252449776,1.252449776
0.012,1.861739515,1.268404011,1.268404011
0.012,1.197924055,1.241389167,1.241389167
0.012,2.31993918,1.267667433,1.267667433
0.012,0.573443345,1.224808112,1.224808112
0.012,1.512237395,1.233456202,1.233456202
0.012,1.29111468,1.211767389,1.211767389
0.012,0.74148468,1.187209216,1.187209216
0.012,1.310618465,1.176044233,1.176044233
0.012,0.370689515,1.175680417,1.175680417
0.012,1.56397683,1.173354379,1.173354379
0.012,2.147126485,1.156382669,1.156382669
0.012,0.88704013,1.138355874,1.138355874
0.012,0.42717134,1.12815411,1.12815411
0.012,0.565122435,1.124623883,1.124623883
0.012,1.760319145,1.130731224,1.130731224
0.012,0.17220179,1.146205341,1.146205341
0.022,1.138849505,1.148018458,1.148018458
0.022,1.258431715,1.138902178,1.138902178
0.022,0.110053975,1.125181536,1.125181536
0.022,0.49695248,1.136686478,1.136686478
0.022,1.18405729,1.127668607,1.127668607
0.022,1.399783255,1.136885699,1.136885699
0.022,2.67656937,1.121996653,1.121996653
0.022,0.25182386,1.121800414,1.121800414
0.022,1.054157865,1.117867024,1.117867024
0.022,0.91832321,1.157257583,1.157257583
0.022,0.337588205,1.150828175,1.150828175
0.022,0.592557755,1.144774512,1.144774512
0.022,1.87855941,1.165899129,1.165899129
0.022,2.5402874,1.152059203,1.152059203
0.022,0.425858365,1.141258037,1.141258037
0.022,0.28462696,1.137494047,1.137494047
0.022,2.13382717,1.14285346,1.14285346
0.022,1.71156181,1.111521115,1.111521115
0.022,2.6386967,1.084286175,1.084286175
0.022,0.974564765,1.040804755,1.040804755
0.022,2.078239975,1.058875701,1.058875701
0.022,1.221780855,1.041996436,1.041996436
0.022,2.05900543,1.042467608,1.042467608
0.022,1.434106375,1.018941241,1.018941241
0.022,1.460319885,1.010525755,1.010525755
0.022,0.44032155,1.02274698,1.02274698
0.022,0.55927837,1.043269213,1.043269213
0.022,2.18425363,1.075956011,1.075956011
0.022,1.5779927,1.045248748,1.045248748
0.022,0.380828655,1.027335273,1.027335273
0.022,1.64807205,1.022963515,1.022963515
0.022,2.58412427,0.994266187,0.994266187
0.022,0.430033305,0.962698256,0.962698256
0.022,2.652563465,0.958406435,0.958406435
0.022,0.51099732,0.914406128,0.914406128
0.022,2.511837315,0.946668889,0.946668889
0.022,0.17697315,0.905205191,0.905205191
0.022,1.005847845,0.904838393,0.904838393
0.022,0.42779673,0.887873805,0.887873805
0.022,0.063206035,0.90450738,0.90450738
0.022,0.18323556,0.936824397,0.936824397
0.022,1.292427655,0.966260707,0.966260707
0.022,0.254387615,0.974908797,0.974908797
0.022,0.715391305,0.991736207,0.991736207
0.022,1.24578676,0.991852509,0.991852509
0.022,0.376951925,0.97124918,0.97124918
0.022,0.25065999,1.025409501,1.025409501
0.022,0.870489475,1.034030173,1.034030173
0.022,2.53402499,1.01701431,1.01701431
0.022,0.26285763,0.993911982,0.993911982
0.022,0.68303552,1.009031808,1.009031808
0.022,0.57239961,1.03527727,1.03527727
0.022,0.685301065,1.040454196,1.040454196
0.022,0.04605896,1.090579735,1.090579735
0.022,1.644911875,1.129263536,1.129263536
0.022,0.65533096,1.117997742,1.117997742
0.022,2.66675741,1.126350025,1.126350025
0.022,0.055154365,1.120802739,1.120802739
0.022,3.02368581,1.19208984,1.19208984
0.022,0.59685283,1.189087445,1.189087445
0.022,0.034905055,1.18622819,1.18622819
0.022,1.648788605,1.217912423,1.217912423
0.022,1.186563105,1.22572014,1.22572014
0.022,2.00022909,1.22860441,1.22860441
0.022,0.237658885,1.196019583,1.196019583
0.022,0.552597615,1.219014556,1.219014556
0.022,0.567209905,1.211100063,1.211100063
0.022,0.349814815,1.253009917,1.253009917
0.022,0.464625665,1.291684192,1.291684192
0.022,1.878112095,1.324555881,1.324555881
0.022,1.234276705,1.324621487,1.324621487
0.022,1.245339445,1.322304395,1.322304395
0.022,0.882687115,1.298868071,1.298868071
0.022,1.013332065,1.313462469,1.313462469
0.022,2.071381145,1.33276204,1.33276204
0.022,1.46643319,1.310446407,1.310446407
0.022,2.193618275,1.315041823,1.315041823
0.022,0.648890475,1.281678667,1.281678667
0.022,0.682318965,1.271414279,1.271414279
0.022,0.162240725,1.288706898,1.288706898
0.022,0.213205665,1.301294342,1.301294342
0.022,1.00572771,1.311946982,1.311946982
0.022,0.21544224,1.2940514,1.2940514
0.022,0.45254816,1.303377006,1.303377006
0.022,2.124135345,1.371099918,1.371099918
0.022,0.438652425,1.342842118,1.342842118
0.022,0.158633235,1.352439095,1.352439095
0.022,0.15761847,1.353086211,1.353086211
0.022,1.25947545,1.367089573,1.367089573
0.022,1.67905692,1.357249222,1.357249222
0.022,1.655051015,1.330684676,1.330684676
0.022,1.724832155,1.309267233,1.309267233
0.022,1.09575816,1.321798597,1.321798597
0.022,0.7212064,1.344507288,1.344507288
